feature,importance
alcohol,0.3098789940254092
volatile acidity,0.1546202103494631
free sulfur dioxide,0.10156287148098782
density,0.08741671074550698
sulphates,0.07052797186354647
total sulfur dioxide,0.06401297671177952
chlorides,0.06356418888868436
citric acid,0.05886971093968496
residual sugar,0.04801716059403982
pH,0.042552167964688734
fixed acidity,0.032381564691299144
wine_type,0.014754886375070622
