model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_BAG_L3,0.5244318842887878,0.544654369354248,r2,1.4057354927062988,1.0997655391693115,337.96365666389465,0.013917207717895508,0.006383180618286133,2.9647982120513916,3,True,18
CatBoost_BAG_L2,0.5235260725021362,0.5483595132827759,r2,1.001164197921753,0.7881081104278564,313.37990045547485,0.01413726806640625,0.006371974945068359,3.049795389175415,2,True,11
WeightedEnsemble_L4,0.5234775543212891,0.5551379919052124,r2,1.4574346542358398,1.238312005996704,335.4451582431793,0.0019268989562988281,0.00044035911560058594,0.08090353012084961,4,True,21
LightGBMXT_BAG_L3,0.5227082371711731,0.5374930500984192,r2,1.4128532409667969,1.1014130115509033,343.08329820632935,0.021034955978393555,0.00803065299987793,8.084439754486084,3,True,16
LightGBMXT_BAG_L2,0.5226355791091919,0.54393470287323,r2,1.0077300071716309,0.7900400161743164,318.6088137626648,0.02070307731628418,0.00830388069152832,8.278708696365356,2,True,9
LightGBM_BAG_L2,0.521800696849823,0.537399411201477,r2,1.0069079399108887,0.7874016761779785,317.3835368156433,0.019881010055541992,0.00566554069519043,7.053431749343872,2,True,8
WeightedEnsemble_L3,0.5212569236755371,0.5517158508300781,r2,1.0714926719665527,0.9308245182037354,313.7754485607147,0.0013697147369384766,0.0004870891571044922,0.03601217269897461,3,True,14
WeightedEnsemble_L2,0.5207881927490234,0.548694372177124,r2,0.4400026798248291,0.5560932159423828,186.38594603538513,0.0019218921661376953,0.0004830360412597656,0.03394508361816406,2,True,7
XGBoost_BAG_L2,0.5205849409103394,0.5346088409423828,r2,1.2071609497070312,0.795304536819458,314.964435338974,0.22013401985168457,0.013568401336669922,4.6343302726745605,2,True,13
LightGBM_BAG_L3,0.5184491872787476,0.5386335253715515,r2,1.4126033782958984,1.0987401008605957,342.06248712539673,0.020785093307495117,0.0053577423095703125,7.063628673553467,3,True,15
XGBoost_BAG_L3,0.5176221132278442,0.534105658531189,r2,1.5255606174468994,1.1067571640014648,339.7465515136719,0.1337423324584961,0.013374805450439453,4.747693061828613,3,True,20
ExtraTreesMSE_BAG_L1,0.5164006948471069,0.5389126539230347,r2,0.07552790641784668,0.14260077476501465,0.5475983619689941,0.07552790641784668,0.14260077476501465,0.5475983619689941,1,True,5
ExtraTreesMSE_BAG_L3,0.5140910148620605,0.5456351637840271,r2,1.455507755279541,1.2378716468811035,335.3642547130585,0.0636894702911377,0.14448928833007812,0.36539626121520996,3,True,19
ExtraTreesMSE_BAG_L2,0.5128598213195801,0.5466574430465698,r2,1.055985689163208,0.9239654541015625,310.68964099884033,0.06895875930786133,0.14222931861877441,0.35953593254089355,2,True,12
RandomForestMSE_BAG_L2,0.5119036436080933,0.5333616733551025,r2,1.048004150390625,0.917243242263794,311.62305641174316,0.06097722053527832,0.13550710678100586,1.2929513454437256,2,True,10
RandomForestMSE_BAG_L3,0.5017752647399902,0.5320112705230713,r2,1.4554531574249268,1.231781005859375,336.29878759384155,0.06363487243652344,0.1383986473083496,1.299929141998291,3,True,17
RandomForestMSE_BAG_L1,0.5017380714416504,0.5297299027442932,r2,0.07114863395690918,0.1374526023864746,0.6000018119812012,0.07114863395690918,0.1374526023864746,0.6000018119812012,1,True,3
CatBoost_BAG_L1,0.4989275336265564,0.5054675340652466,r2,0.0905609130859375,0.015682697296142578,174.03266406059265,0.0905609130859375,0.015682697296142578,174.03266406059265,1,True,4
XGBoost_BAG_L1,0.49069494009017944,0.49692267179489136,r2,0.20084333419799805,0.2598741054534912,11.171736717224121,0.20084333419799805,0.2598741054534912,11.171736717224121,1,True,6
LightGBM_BAG_L1,0.4841614365577698,0.4954661726951599,r2,0.11814379692077637,0.04717850685119629,29.624451398849487,0.11814379692077637,0.04717850685119629,29.624451398849487,1,True,1
LightGBMXT_BAG_L1,0.4662385582923889,0.47755974531173706,r2,0.4308023452758789,0.17894744873046875,94.35365271568298,0.4308023452758789,0.17894744873046875,94.35365271568298,1,True,2
