time_s,conductivity,motor1_proportion
0.2560,876.000000,0.003500
0.7566,880.000000,0.011250
1.2563,874.000000,0.019000
1.7568,690.000000,0.026625
2.2563,1934.000000,0.034500
2.7565,1934.000000,0.042250
3.2560,5016.000000,0.050000
3.7565,5016.000000,0.057750
4.2560,5016.000000,0.065500
4.7566,5016.000000,0.073125
5.2561,5016.000000,0.081000
5.7567,5016.000000,0.088750
6.2559,5016.000000,0.096500
6.7562,5016.000000,0.104250
7.2562,5016.000000,0.112000
7.7560,5016.000000,0.119625
8.2566,5016.000000,0.127375
8.7560,5016.000000,0.135125
9.2566,5016.000000,0.142875
9.7560,5016.000000,0.150625
10.2566,5016.000000,0.158375
10.7569,5016.000000,0.166125
11.2568,5016.000000,0.174000
11.7561,5016.000000,0.181625
12.2564,5016.000000,0.189375
12.7567,5016.000000,0.197125
13.2563,5016.000000,0.204875
13.7564,5016.000000,0.212500
14.2561,5016.000000,0.220250
14.7563,5016.000000,0.228000
15.2560,5016.000000,0.235750
15.7565,501.000000,0.243500
17.3069,5016.000000,0.266875
17.8063,5016.000000,0.274625
18.3062,5016.000000,0.282375
18.8061,5016.000000,0.290000
19.3064,5016.000000,0.297875
19.8064,5016.000000,0.305625
20.3059,5016.000000,0.313375
20.8062,5016.000000,0.321000
21.3066,5016.000000,0.328750
21.8066,5016.000000,0.336500
22.3066,5016.000000,0.344375
22.8065,5016.000000,0.352125
23.3068,5016.000000,0.359875
23.8067,5016.000000,0.367500
24.3068,5016.000000,0.375250
24.8066,5016.000000,0.382875
25.3067,5016.000000,0.390625
25.8063,5016.000000,0.398375
26.3067,5016.000000,0.406125
26.8068,5016.000000,0.413625
27.3069,4722.000000,0.421375
27.8065,4706.000000,0.429125
28.3065,4722.000000,0.436875
28.8061,4626.000000,0.444500
29.3065,4706.000000,0.452250
29.8065,4706.000000,0.459875
30.3060,4722.000000,0.467625
30.8064,4740.000000,0.475375
31.3068,4434.000000,0.483125
31.8059,4298.000000,0.490875
32.3061,4226.000000,0.498625
32.8067,4226.000000,0.506375
33.3067,4278.000000,0.514125
33.8067,4292.000000,0.521875
34.3069,4198.000000,0.529750
34.8067,4254.000000,0.537500
35.3066,4336.000000,0.545250
35.8068,4336.000000,0.553000
36.3060,4350.000000,0.560750
36.8067,4234.000000,0.568500
37.3060,4234.000000,0.576250
37.8065,4342.000000,0.583875
38.3068,3944.000000,0.591625
38.8065,3944.000000,0.599500
39.3062,3606.000000,0.607000
39.8068,3606.000000,0.614750
40.3067,3428.000000,0.622500
40.8059,3394.000000,0.630250
41.3061,3454.000000,0.637875
41.8063,3454.000000,0.645625
42.3062,3398.000000,0.653375
42.8068,3454.000000,0.661000
43.3061,3040.000000,0.668875
43.8062,2662.000000,0.676625
44.3066,2460.000000,0.684375
44.8059,2460.000000,0.692250
45.3065,2278.000000,0.700000
45.8066,2274.000000,0.707750
46.3061,2258.000000,0.715375
46.8065,2166.000000,0.723125
47.3060,2054.000000,0.730875
47.8065,2054.000000,0.738625
48.3065,2054.000000,0.746375
48.8059,2048.000000,0.754125
49.3063,1930.000000,0.761875
49.8064,1758.000000,0.769625
50.3067,1570.000000,0.777250
50.8067,1570.000000,0.785125
51.3064,1454.000000,0.792875
51.8063,1418.000000,0.800500
52.3062,1352.000000,0.808250
54.3567,1192.000000,0.839250
54.8570,1172.000000,0.847000
55.3561,1200.000000,0.854750
55.8561,1078.000000,0.862500
56.3563,862.000000,0.870250
56.8565,862.000000,0.878000
57.3569,782.000000,0.885875
57.8569,716.000000,0.893500
58.3562,626.000000,0.901375
58.8563,568.000000,0.909000
59.3564,490.000000,0.916750
59.8561,490.000000,0.924625
60.3567,494.000000,0.932375
60.8563,522.000000,0.940125
61.3564,582.000000,0.947875
61.8565,632.000000,0.955625
62.3564,660.000000,0.963375
62.8566,660.000000,0.971125
63.3562,706.000000,0.978875
63.8561,752.000000,0.986625
64.3560,782.000000,0.994375
64.8561,820.000000,0.000000
65.3562,846.000000,0.000000
65.8559,846.000000,0.000000
66.3562,846.000000,0.000000
66.8560,846.000000,0.000000
67.3562,846.000000,0.000000
67.8565,846.000000,0.000000
68.3564,846.000000,0.000000
68.8560,846.000000,0.000000
69.3561,846.000000,0.000000
69.8565,844.000000,0.000000
70.3565,846.000000,0.000000
70.8562,846.000000,0.000000
71.3559,846.000000,0.000000
71.8564,846.000000,0.000000
72.3559,844.000000,0.000000
72.8562,846.000000,0.000000
73.3566,846.000000,0.000000
73.8563,844.000000,0.000000
74.3562,846.000000,0.000000
74.8567,846.000000,0.000000
75.3567,846.000000,0.000000
75.8562,846.000000,0.000000
76.3566,844.000000,0.000000
76.8565,846.000000,0.000000
77.3565,844.000000,0.000000
77.8560,844.000000,0.000000
78.3560,846.000000,0.000000
78.8563,846.000000,0.000000
79.3564,846.000000,0.000000
79.8567,846.000000,0.000000
80.3565,850.000000,0.000000
80.8566,850.000000,0.000000
