time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0466,2384.000000,0.005333,16.0000,0.0000
0.0963,2384.000000,0.011333,34.0000,0.0000
0.1457,2474.000000,0.017667,53.0000,0.0000
0.1959,1872.000000,0.024000,72.0000,0.0000
0.2457,2718.000000,0.030000,90.0000,0.0000
0.2962,4828.000000,0.036333,109.0000,0.0000
0.3462,5016.000000,0.042667,128.0000,0.0000
0.3957,5016.000000,0.048667,146.0000,0.0000
0.4465,5016.000000,0.055000,165.0000,0.0000
0.4958,5016.000000,0.061000,183.0000,0.0000
0.5463,5016.000000,0.067333,202.0000,0.0000
0.5961,5016.000000,0.073333,220.0000,0.0000
0.6459,5016.000000,0.079667,239.0000,0.0000
0.6964,5016.000000,0.086000,258.0000,0.0000
0.7465,5016.000000,0.092000,276.0000,0.0000
0.7959,5016.000000,0.098333,295.0000,0.0000
0.8465,5016.000000,0.104333,313.0000,0.0000
0.8965,5016.000000,0.110667,332.0000,0.0000
0.9459,5016.000000,0.116667,350.0000,0.0000
0.9964,5016.000000,0.123000,369.0000,0.0000
1.0465,5016.000000,0.129000,387.0000,0.0000
1.0961,5016.000000,0.135333,406.0000,0.0000
1.1463,5016.000000,0.141333,424.0000,0.0000
1.1963,5016.000000,0.147667,443.0000,0.0000
1.2459,5016.000000,0.154000,462.0000,0.0000
1.2962,5016.000000,0.160000,480.0000,0.0000
1.3456,5016.000000,0.166333,499.0000,0.0000
1.3959,5016.000000,0.172667,518.0000,0.0000
1.4459,5016.000000,0.178667,536.0000,0.0000
1.4959,5016.000000,0.184667,554.0000,0.0000
1.5463,5016.000000,0.191000,573.0000,0.0000
1.5957,5016.000000,0.197000,591.0000,0.0000
1.6466,5016.000000,0.203333,610.0000,0.0000
1.6965,5016.000000,0.209333,628.0000,0.0000
1.7457,5016.000000,0.215667,647.0000,0.0000
1.7958,5016.000000,0.222000,666.0000,0.0000
1.8459,5016.000000,0.228000,684.0000,0.0000
1.8966,5016.000000,0.234333,703.0000,0.0000
1.9459,5016.000000,0.240667,722.0000,0.0000
1.9965,5016.000000,0.246667,740.0000,0.0000
2.0456,5016.000000,0.253000,759.0000,0.0000
2.0966,5016.000000,0.259000,777.0000,0.0000
2.1463,5016.000000,0.265333,796.0000,0.0000
2.1963,5016.000000,0.271667,815.0000,0.0000
2.2457,5016.000000,0.284000,852.0000,0.0000
2.2964,5016.000000,0.290000,870.0000,0.0000
2.3459,5016.000000,0.296333,889.0000,0.0000
2.3958,5016.000000,0.308667,926.0000,0.0000
2.4459,4944.000000,0.321000,963.0000,0.0000
2.4964,4960.000000,0.346000,1038.0000,0.0000
2.5461,4970.000000,0.352000,1056.0000,0.0000
2.5958,4960.000000,0.358333,1075.0000,0.0000
2.6463,4952.000000,0.364333,1093.0000,0.0000
2.6962,4944.000000,0.370667,1112.0000,0.0000
2.7461,4990.000000,0.377000,1131.0000,0.0000
2.7962,4990.000000,0.383000,1149.0000,0.0000
2.8457,4960.000000,0.389333,1168.0000,0.0000
2.8960,4802.000000,0.395333,1186.0000,0.0000
2.9458,4544.000000,0.401667,1205.0000,0.0000
2.9966,4190.000000,0.408000,1224.0000,0.0000
3.0461,4132.000000,0.414000,1242.0000,0.0000
3.0963,4132.000000,0.420333,1261.0000,0.0000
3.1460,4128.000000,0.426333,1279.0000,0.0000
3.1957,4132.000000,0.432667,1298.0000,0.0000
3.2457,4128.000000,0.438667,1316.0000,0.0000
3.2966,4148.000000,0.445000,1335.0000,0.0000
