time_s,conductivity,motor1_proportion
0.0792,5016.000000,0.000200
0.5792,5016.000000,0.005200
1.0797,5016.000000,0.010100
1.5793,5016.000000,0.015100
2.0790,5016.000000,0.020100
2.5793,5016.000000,0.025000
3.0796,5016.000000,0.030000
3.5792,5016.000000,0.034900
4.0797,5016.000000,0.039900
4.5791,5016.000000,0.044900
5.0797,5016.000000,0.049800
5.5799,5016.000000,0.054800
6.0793,5016.000000,0.059700
6.5794,5016.000000,0.064700
7.0796,5016.000000,0.069600
7.5790,5016.000000,0.074600
8.0794,5016.000000,0.079500
8.5792,5016.000000,0.084500
9.0795,5016.000000,0.089400
9.5792,5016.000000,0.094400
10.0798,5016.000000,0.099300
10.5799,5016.000000,0.104300
11.0790,5016.000000,0.109300
11.5798,5016.000000,0.114200
12.0797,5016.000000,0.119200
12.5792,5016.000000,0.124100
13.0793,5016.000000,0.129100
13.5795,5016.000000,0.134100
14.0799,5016.000000,0.139000
14.5790,5016.000000,0.144000
15.0797,5016.000000,0.149000
15.5798,5016.000000,0.153900
16.0796,5016.000000,0.158800
16.5794,5016.000000,0.163800
17.0791,5016.000000,0.168700
17.5790,5016.000000,0.173700
18.0795,5016.000000,0.178700
18.5798,4944.000000,0.183600
19.0794,4934.000000,0.188500
19.5791,4952.000000,0.193500
20.0795,4952.000000,0.198400
20.5794,4952.000000,0.203400
21.0796,4934.000000,0.208300
21.5799,4922.000000,0.213300
22.0795,4934.000000,0.218200
22.5799,4934.000000,0.223100
23.0795,4960.000000,0.228100
23.5794,4960.000000,0.233000
24.0796,4818.000000,0.238000
24.5792,4756.000000,0.242900
25.0790,4836.000000,0.247900
25.5791,4898.000000,0.252900
26.0799,4802.000000,0.257800
26.5791,4802.000000,0.262800
27.0792,4792.000000,0.267800
27.5794,4802.000000,0.272700
28.0793,4792.000000,0.277700
28.5795,4766.000000,0.282600
29.0796,4718.000000,0.287600
29.5800,4718.000000,0.292600
30.5795,4544.000000,0.302500
31.5799,4198.000000,0.312400
33.5794,4132.000000,0.332100
36.1296,4148.000000,0.356900
36.6297,4154.000000,0.361900
37.1298,4148.000000,0.366800
37.6299,4164.000000,0.371800
38.1297,4142.000000,0.376800
38.6298,4142.000000,0.381700
39.1298,4164.000000,0.386700
39.6300,4148.000000,0.391600
40.1297,4112.000000,0.396600
40.6299,4098.000000,0.401600
41.1300,3980.000000,0.406500
41.6298,3980.000000,0.411500
42.1298,4262.000000,0.416400
42.6289,4204.000000,0.421400
43.1300,4142.000000,0.426400
43.6291,3928.000000,0.431300
44.1299,3832.000000,0.436300
44.6300,3832.000000,0.441200
45.1300,3460.000000,0.446200
45.6292,3154.000000,0.451200
46.1293,3008.000000,0.456100
46.6301,2988.000000,0.461100
47.1292,2984.000000,0.466100
47.6294,2984.000000,0.471000
48.1292,3002.000000,0.476000
48.6293,3002.000000,0.480900
49.1294,2998.000000,0.485800
49.6297,2988.000000,0.490800
50.1299,2988.000000,0.495700
50.6294,2988.000000,0.500700
51.1295,2988.000000,0.505600
51.6306,2978.000000,0.510500
52.1296,3144.000000,0.515500
52.6293,3182.000000,0.520500
53.1300,3194.000000,0.525400
53.6292,3194.000000,0.530400
54.1292,3194.000000,0.535400
54.6293,3138.000000,0.540300
55.1297,3194.000000,0.545300
55.6292,3178.000000,0.550200
56.1293,3134.000000,0.555200
56.6293,3134.000000,0.560100
57.1296,3112.000000,0.565100
57.6301,3162.000000,0.570100
58.1292,3102.000000,0.575000
58.6299,3026.000000,0.580000
59.1296,2988.000000,0.584900
59.6299,2988.000000,0.589900
60.1295,2992.000000,0.594800
60.6292,2988.000000,0.599800
61.1296,3102.000000,0.604700
61.6298,2708.000000,0.609700
62.1296,2218.000000,0.614600
62.6300,2218.000000,0.619600
63.1292,1872.000000,0.624600
63.6296,1522.000000,0.629500
64.1298,1350.000000,0.634500
64.6292,1174.000000,0.639400
65.1292,1134.000000,0.644400
65.6294,1134.000000,0.649300
66.1300,1.000000,0.654300
66.6300,1202.000000,0.659300
67.1298,1162.000000,0.664200
67.6295,1136.000000,0.669100
68.6296,1178.000000,0.679000
69.6300,1152.000000,0.688900
71.6797,1134.000000,0.708800
72.1794,1034.000000,0.713700
72.6798,998.000000,0.718700
73.1799,1112.000000,0.723600
73.6799,874.000000,0.728600
74.1797,838.000000,0.733500
74.6801,838.000000,0.738500
75.1796,858.000000,0.743400
75.6800,926.000000,0.748400
76.1795,1072.000000,0.753300
76.6800,1136.000000,0.758300
77.1793,1144.000000,0.763200
77.6800,1144.000000,0.768100
78.1792,1136.000000,0.773100
78.6793,1152.000000,0.778000
79.1793,1138.000000,0.783000
79.6789,1104.000000,0.788000
80.1794,1140.000000,0.792900
80.6791,1140.000000,0.797900
81.1796,1128.000000,0.802800
81.6801,1082.000000,0.807800
82.1799,1226.000000,0.812800
82.6795,1292.000000,0.817700
83.1795,1318.000000,0.822700
83.6798,1318.000000,0.827600
84.1795,1338.000000,0.832600
84.6797,1350.000000,0.837600
85.1796,1338.000000,0.842500
85.6796,1352.000000,0.847500
86.1799,1424.000000,0.852500
86.6792,1424.000000,0.857400
87.1800,1506.000000,0.862400
87.6797,1510.000000,0.867300
88.1796,1512.000000,0.872300
88.6800,1510.000000,0.877300
89.1795,1550.000000,0.882200
89.6791,1550.000000,0.887100
90.1792,1624.000000,0.892100
90.6796,1644.000000,0.897000
91.1799,1698.000000,0.902000
91.6793,1766.000000,0.907000
92.1789,1802.000000,0.911900
92.6799,1802.000000,0.916900
93.1798,1834.000000,0.921900
93.6791,1844.000000,0.926800
94.1795,1890.000000,0.931800
94.6800,2002.000000,0.936700
95.1792,2068.000000,0.941700
95.6798,2068.000000,0.946600
96.1792,2072.000000,0.951600
96.6800,2172.000000,0.956600
97.1790,2218.000000,0.961500
97.6799,2258.000000,0.966500
98.1791,2258.000000,0.971500
98.6794,2258.000000,0.976400
99.1789,2300.000000,0.981400
99.6798,2330.000000,0.986300
100.1789,2366.000000,0.991300
100.6791,2400.000000,0.996300
101.1790,2446.000000,0.000000
101.6791,2446.000000,0.000000
102.1791,2366.000000,0.000000
102.6792,2360.000000,0.000000
103.1799,2352.000000,0.000000
103.6793,2336.000000,0.000000
104.1797,2336.000000,0.000000
104.6798,2336.000000,0.000000
105.1796,23.000000,0.000000
105.6795,2352.000000,0.000000
106.6791,2342.000000,0.000000
108.2294,2336.000000,0.000000
108.7294,2320.000000,0.000000
109.2294,2352.000000,0.000000
110.7299,2342.000000,0.000000
111.2294,2344.000000,0.000000
111.7294,2354.000000,0.000000
112.2298,2352.000000,0.000000
112.7293,2344.000000,0.000000
113.2292,2344.000000,0.000000
113.7297,2344.000000,0.000000
114.2292,2352.000000,0.000000
114.7294,2354.000000,0.000000
115.2292,2344.000000,0.000000
115.7292,2342.000000,0.000000
116.2294,2342.000000,0.000000
116.7298,2342.000000,0.000000
117.2299,2358.000000,0.000000
117.7292,2352.000000,0.000000
118.2299,2334.000000,0.000000
118.7291,2342.000000,0.000000
119.2291,2354.000000,0.000000
119.7295,2354.000000,0.000000
120.2298,2342.000000,0.000000
120.7292,2366.000000,0.000000
121.2291,2358.000000,0.000000
121.7298,2366.000000,0.000000
122.2298,2376.000000,0.000000
122.7290,2376.000000,0.000000
123.2292,2372.000000,0.000000
123.7293,2370.000000,0.000000
124.2292,2366.000000,0.000000
124.7292,2366.000000,0.000000
125.2290,2370.000000,0.000000
125.7300,2370.000000,0.000000
