time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0356,2384.000000,0.005333,16.0000,0.0000
0.0816,2384.000000,0.011333,34.0000,0.0000
0.1273,2474.000000,0.017667,53.0000,0.0000
0.1780,1872.000000,0.024000,72.0000,0.0000
0.2276,2718.000000,0.030000,90.0000,0.0000
0.2774,4828.000000,0.036333,109.0000,0.0000
0.3281,5016.000000,0.042667,128.0000,0.0000
0.3775,5016.000000,0.048667,146.0000,0.0000
0.4279,5016.000000,0.055000,165.0000,0.0000
0.4778,5016.000000,0.061000,183.0000,0.0000
0.5273,5016.000000,0.067333,202.0000,0.0000
0.5774,5016.000000,0.073333,220.0000,0.0000
0.6276,5016.000000,0.079667,239.0000,0.0000
0.6780,5016.000000,0.086000,258.0000,0.0000
0.7272,5016.000000,0.092000,276.0000,0.0000
0.7772,5016.000000,0.098333,295.0000,0.0000
0.8274,5016.000000,0.104333,313.0000,0.0000
0.8779,5016.000000,0.110667,332.0000,0.0000
0.9273,5016.000000,0.116667,350.0000,0.0000
0.9779,5016.000000,0.123000,369.0000,0.0000
1.0276,5016.000000,0.129000,387.0000,0.0000
1.0775,5016.000000,0.135333,406.0000,0.0000
1.1276,5016.000000,0.141333,424.0000,0.0000
1.1775,5016.000000,0.147667,443.0000,0.0000
1.2280,5016.000000,0.154000,462.0000,0.0000
1.2777,5016.000000,0.160000,480.0000,0.0000
1.3279,5016.000000,0.166333,499.0000,0.0000
1.3775,5016.000000,0.172667,518.0000,0.0000
1.4277,5016.000000,0.178667,536.0000,0.0000
1.4775,5016.000000,0.184667,554.0000,0.0000
1.5277,5016.000000,0.191000,573.0000,0.0000
1.5776,5016.000000,0.197000,591.0000,0.0000
1.6278,5016.000000,0.203333,610.0000,0.0000
1.6775,5016.000000,0.209333,628.0000,0.0000
1.7277,5016.000000,0.215667,647.0000,0.0000
1.7772,5016.000000,0.222000,666.0000,0.0000
1.8273,5016.000000,0.228000,684.0000,0.0000
1.8778,5016.000000,0.234333,703.0000,0.0000
1.9272,5016.000000,0.240667,722.0000,0.0000
1.9774,5016.000000,0.246667,740.0000,0.0000
2.0272,5016.000000,0.253000,759.0000,0.0000
2.0777,5016.000000,0.259000,777.0000,0.0000
2.1279,5016.000000,0.265333,796.0000,0.0000
2.1774,5016.000000,0.271667,815.0000,0.0000
2.2276,5016.000000,0.284000,852.0000,0.0000
2.2779,5016.000000,0.290000,870.0000,0.0000
2.3277,5016.000000,0.296333,889.0000,0.0000
2.3774,5016.000000,0.308667,926.0000,0.0000
2.4278,4944.000000,0.321000,963.0000,0.0000
2.4774,4960.000000,0.346000,1038.0000,0.0000
2.5275,4970.000000,0.352000,1056.0000,0.0000
2.5779,4960.000000,0.358333,1075.0000,0.0000
2.6277,4952.000000,0.364333,1093.0000,0.0000
2.6771,4944.000000,0.370667,1112.0000,0.0000
2.7279,4990.000000,0.377000,1131.0000,0.0000
2.7773,4990.000000,0.383000,1149.0000,0.0000
2.8279,4960.000000,0.389333,1168.0000,0.0000
2.8779,4802.000000,0.395333,1186.0000,0.0000
2.9275,4544.000000,0.401667,1205.0000,0.0000
2.9776,4190.000000,0.408000,1224.0000,0.0000
3.0276,4132.000000,0.414000,1242.0000,0.0000
3.0777,4132.000000,0.420333,1261.0000,0.0000
3.1278,4128.000000,0.426333,1279.0000,0.0000
3.1771,4132.000000,0.432667,1298.0000,0.0000
3.2280,4128.000000,0.438667,1316.0000,0.0000
3.2780,4148.000000,0.445000,1335.0000,0.0000
3.3274,4112.000000,0.451000,1353.0000,0.0000
3.3777,4112.000000,0.457333,1372.0000,0.0000
3.4280,4118.000000,0.463333,1390.0000,0.0000
3.4774,4248.000000,0.469667,1409.0000,0.0000
3.5273,3884.000000,0.475667,1427.0000,0.0000
3.5779,3606.000000,0.482000,1446.0000,0.0000
3.6276,3774.000000,0.488000,1464.0000,0.0000
3.6778,3774.000000,0.494333,1483.0000,0.0000
3.7276,3866.000000,0.500333,1501.0000,0.0000
3.7776,3872.000000,0.506667,1520.0000,0.0000
3.8279,3918.000000,0.513000,1539.0000,0.0000
3.8781,4050.000000,0.519000,1557.0000,0.0000
3.9273,3918.000000,0.525333,1576.0000,0.0000
3.9772,3918.000000,0.531333,1594.0000,0.0000
4.0278,3768.000000,0.537667,1613.0000,0.0000
4.0772,3606.000000,0.544000,1632.0000,0.0000
4.1273,3682.000000,0.550000,1650.0000,0.0000
4.1779,3774.000000,0.556333,1669.0000,0.0000
4.2276,3762.000000,0.562667,1688.0000,0.0000
4.2777,3762.000000,0.568667,1706.0000,0.0000
4.3276,3742.000000,0.575000,1725.0000,0.0000
4.3781,3454.000000,0.581000,1743.0000,0.0000
4.4272,2844.000000,0.587333,1762.0000,0.0000
4.4776,2446.000000,0.593667,1781.0000,0.0000
4.5276,2256.000000,0.599667,1799.0000,0.0000
4.5777,2256.000000,0.606000,1818.0000,0.0000
4.6279,2124.000000,0.612000,1836.0000,0.0000
4.6774,2076.000000,0.618333,1855.0000,0.0000
4.7277,2140.000000,0.624667,1874.0000,0.0000
4.7775,2120.000000,0.630667,1892.0000,0.0000
4.8275,2068.000000,0.637000,1911.0000,0.0000
4.8780,2068.000000,0.643000,1929.0000,0.0000
4.9277,2020.000000,0.649333,1948.0000,0.0000
4.9779,1996.000000,0.655667,1967.0000,0.0000
5.0275,1952.000000,0.661667,1985.0000,0.0000
5.0773,1644.000000,0.668000,2004.0000,0.0000
5.1274,1416.000000,0.674000,2022.0000,0.0000
5.1774,1416.000000,0.680333,2041.0000,0.0000
5.2275,1316.000000,0.686667,2060.0000,0.0000
5.2774,1302.000000,0.692667,2078.0000,0.0000
5.3275,1338.000000,0.698667,2096.0000,0.0000
5.3781,1324.000000,0.705000,2115.0000,0.0000
5.4279,1240.000000,0.711000,2133.0000,0.0000
5.4779,1240.000000,0.717333,2152.0000,0.0000
5.5275,1216.000000,0.723333,2170.0000,0.0000
5.5780,1208.000000,0.729667,2189.0000,0.0000
5.6278,1044.000000,0.736000,2208.0000,0.0000
5.6771,934.000000,0.742000,2226.0000,0.0000
5.7277,952.000000,0.754667,2264.0000,0.0000
