time_s,conductivity,motor1_proportion
0.2661,2400.000000,0.003375
0.7657,2400.000000,0.011125
1.2661,2498.000000,0.019000
1.7660,2046.000000,0.026750
2.2664,1712.000000,0.034625
2.7658,3730.000000,0.042375
3.2657,5016.000000,0.050125
3.7657,5016.000000,0.057875
4.2659,5016.000000,0.065750
4.7658,5016.000000,0.073500
5.2662,5016.000000,0.081250
5.7663,5016.000000,0.089000
6.2662,5016.000000,0.096750
6.7661,5016.000000,0.104375
7.2657,5016.000000,0.112125
7.7660,5016.000000,0.119875
8.2662,5016.000000,0.127625
8.7659,5016.000000,0.135375
9.2658,5016.000000,0.143000
9.7658,5016.000000,0.150750
10.2660,5016.000000,0.158500
10.7663,5016.000000,0.166250
11.2664,5016.000000,0.174000
11.7664,5016.000000,0.181625
12.2657,5016.000000,0.189375
12.7659,5016.000000,0.197125
13.2661,5016.000000,0.205000
13.7662,5016.000000,0.212750
14.2661,5016.000000,0.220500
14.7661,5016.000000,0.228250
15.2660,5016.000000,0.236125
15.7663,5016.000000,0.243875
16.2658,5016.000000,0.251625
16.7659,5016.000000,0.259375
17.2660,5016.000000,0.267125
17.7655,5016.000000,0.274875
18.2659,5016.000000,0.282625
18.7664,5016.000000,0.290375
19.2660,4808.000000,0.298125
19.7665,4706.000000,0.305875
20.2661,4718.000000,0.313750
20.7663,4680.000000,0.321500
21.2665,4456.000000,0.329250
21.7662,4456.000000,0.337000
22.2658,4278.000000,0.344750
22.7656,4278.000000,0.352500
23.2656,4278.000000,0.360250
23.7662,4278.000000,0.368000
24.2656,4272.000000,0.375625
24.7664,4272.000000,0.383375
25.2658,4262.000000,0.391250
25.7657,3976.000000,0.399000
26.2658,3742.000000,0.406750
26.7655,3966.000000,0.414500
27.2657,3932.000000,0.422250
27.7657,3932.000000,0.429875
28.7657,3866.000000,0.445375
29.7657,4164.000000,0.460750
30.7661,4164.000000,0.476250
31.7657,3698.000000,0.491750
33.3159,3470.000000,0.515125
33.8161,3470.000000,0.522875
34.3161,3470.000000,0.530625
34.8165,3382.000000,0.538375
35.3161,3330.000000,0.546000
35.8164,3314.000000,0.553625
36.3157,3324.000000,0.561375
36.8162,3324.000000,0.569125
37.3163,3318.000000,0.576875
37.8159,3204.000000,0.584500
38.3157,2904.000000,0.592375
38.8160,2392.000000,0.600000
39.3157,1900.000000,0.607750
39.8157,1900.000000,0.615500
40.3159,1742.000000,0.623375
40.8161,1690.000000,0.631125
41.3159,1666.000000,0.638875
41.8156,1634.000000,0.646625
42.3159,1668.000000,0.654250
42.8161,1668.000000,0.662000
43.3165,1402.000000,0.669750
43.8160,1190.000000,0.677375
44.3159,1050.000000,0.685125
44.8155,1010.000000,0.692875
45.3160,990.000000,0.700625
45.8160,990.000000,0.708250
46.3159,1004.000000,0.716125
46.8159,1036.000000,0.723875
47.3156,1022.000000,0.731625
47.8156,1018.000000,0.739375
48.3160,1036.000000,0.747000
48.8159,1036.000000,0.754750
49.3162,986.000000,0.762375
49.8165,1068.000000,0.770125
50.3155,1454.000000,0.777875
50.8156,1858.000000,0.785625
51.3159,2200.000000,0.793500
51.8161,2200.000000,0.801250
52.3157,2446.000000,0.809000
52.8160,2544.000000,0.816750
53.3162,2658.000000,0.824500
53.8160,2712.000000,0.832125
54.3162,2736.000000,0.839875
54.8156,2736.000000,0.847625
55.3154,2744.000000,0.855375
55.8158,2736.000000,0.863125
56.3165,2736.000000,0.870875
56.8165,2744.000000,0.878625
57.3160,2732.000000,0.886375
57.8158,2732.000000,0.894125
58.3165,2736.000000,0.901750
58.8154,2754.000000,0.909500
59.3159,2744.000000,0.917250
59.8164,2744.000000,0.924875
60.3164,2742.000000,0.932625
60.8164,2742.000000,0.940375
61.3162,2744.000000,0.948250
61.8165,2744.000000,0.956000
62.3161,2732.000000,0.963875
62.8157,2742.000000,0.971500
63.3159,2744.000000,0.979375
63.8163,2744.000000,0.987125
64.3162,2732.000000,0.995000
