time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
5.2155,1316.000000,0.686667,2060.0000,0.0000
5.2658,1302.000000,0.692667,2078.0000,0.0000
5.3155,1338.000000,0.698667,2096.0000,0.0000
5.3661,1324.000000,0.705000,2115.0000,0.0000
5.4156,1240.000000,0.711000,2133.0000,0.0000
5.4661,1240.000000,0.717333,2152.0000,0.0000
5.5158,1216.000000,0.723333,2170.0000,0.0000
5.5653,1208.000000,0.729667,2189.0000,0.0000
5.6156,1044.000000,0.736000,2208.0000,0.0000
5.6653,934.000000,0.742000,2226.0000,0.0000
5.7152,952.000000,0.754667,2264.0000,0.0000
5.7658,1118.000000,0.767000,2301.0000,0.0000
5.8159,1184.000000,0.779333,2338.0000,0.0000
5.8653,1220.000000,0.791667,2375.0000,0.0000
5.9156,1400.000000,0.822667,2468.0000,0.0000
5.9657,1400.000000,0.829000,2487.0000,0.0000
6.0154,1446.000000,0.835000,2505.0000,0.0000
6.0656,1442.000000,0.841333,2524.0000,0.0000
6.1152,1460.000000,0.847333,2542.0000,0.0000
6.1656,1476.000000,0.853667,2561.0000,0.0000
6.2161,1546.000000,0.859667,2579.0000,0.0000
6.2656,1546.000000,0.866000,2598.0000,0.0000
6.3158,1628.000000,0.872000,2616.0000,0.0000
6.3660,1644.000000,0.878333,2635.0000,0.0000
6.4161,1658.000000,0.884667,2654.0000,0.0000
6.4657,1718.000000,0.890667,2672.0000,0.0000
6.5156,1766.000000,0.897000,2691.0000,0.0000
6.5662,1766.000000,0.903000,2709.0000,0.0000
6.6160,1770.000000,0.909333,2728.0000,0.0000
6.6654,1820.000000,0.915333,2746.0000,0.0000
6.7196,1926.000000,0.921667,2765.0000,0.0000
6.7657,2020.000000,0.928000,2784.0000,0.0000
6.8152,2054.000000,0.934000,2802.0000,0.0000
6.8658,2054.000000,0.940333,2821.0000,0.0000
6.9179,2184.000000,0.946667,2840.0000,0.0000
6.9652,2248.000000,0.952667,2858.0000,0.0000
7.0153,2258.000000,0.959000,2877.0000,0.0000
7.0661,2314.000000,0.965000,2895.0000,0.0000
7.1180,2370.000000,0.971333,2914.0000,0.0000
7.1657,2370.000000,0.977333,2932.0000,0.0000
