time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
5.9823,1400.000000,0.829000,2487.0000,0.0000
6.0330,1446.000000,0.835000,2505.0000,0.0000
6.0828,1442.000000,0.841333,2524.0000,0.0000
6.1339,1460.000000,0.847333,2542.0000,0.0000
6.1827,1476.000000,0.853667,2561.0000,0.0000
6.2327,1546.000000,0.859667,2579.0000,0.0000
6.2826,1546.000000,0.866000,2598.0000,0.0000
6.3327,1628.000000,0.872000,2616.0000,0.0000
6.3829,1644.000000,0.878333,2635.0000,0.0000
6.4336,1658.000000,0.884667,2654.0000,0.0000
6.4828,1718.000000,0.890667,2672.0000,0.0000
6.5325,1766.000000,0.897000,2691.0000,0.0000
6.5822,1766.000000,0.903000,2709.0000,0.0000
6.6323,1770.000000,0.909333,2728.0000,0.0000
6.6823,1820.000000,0.915333,2746.0000,0.0000
6.7326,1926.000000,0.921667,2765.0000,0.0000
6.7826,2020.000000,0.928000,2784.0000,0.0000
6.8324,2054.000000,0.934000,2802.0000,0.0000
6.8828,2054.000000,0.940333,2821.0000,0.0000
6.9324,2184.000000,0.946667,2840.0000,0.0000
6.9825,2248.000000,0.952667,2858.0000,0.0000
7.0326,2258.000000,0.959000,2877.0000,0.0000
7.0829,2314.000000,0.965000,2895.0000,0.0000
7.1326,2370.000000,0.971333,2914.0000,0.0000
7.1826,2370.000000,0.977333,2932.0000,0.0000
7.2329,2446.000000,0.983667,2951.0000,0.0000
7.2825,2460.000000,0.990000,2970.0000,0.0000
7.3327,2474.000000,0.996000,2988.0000,0.0000
7.3822,2570.000000,0.000000,0.0000,0.0000
7.4323,2502.000000,0.000000,0.0000,0.0000
7.4821,2502.000000,0.000000,0.0000,0.0000
7.5326,2476.000000,0.000000,0.0000,0.0000
7.5827,2468.000000,0.000000,0.0000,0.0000
7.6326,2476.000000,0.000000,0.0000,0.0000
7.6825,2474.000000,0.000000,0.0000,0.0000
7.7322,2486.000000,0.000000,0.0000,0.0000
7.7824,2486.000000,0.000000,0.0000,0.0000
7.8331,2468.000000,0.000000,0.0000,0.0000
7.8828,2480.000000,0.000000,0.0000,0.0000
7.9329,2490.000000,0.000000,0.0000,0.0000
7.9829,2490.000000,0.000000,0.0000,0.0000
8.0328,2476.000000,0.000000,0.0000,0.0000
8.0821,2476.000000,0.000000,0.0000,0.0000
8.1322,2474.000000,0.000000,0.0000,0.0000
8.1827,2474.000000,0.000000,0.0000,0.0000
8.2325,2474.000000,0.000000,0.0000,0.0000
8.2831,2466.000000,0.000000,0.0000,0.0000
8.3329,2490.000000,0.000000,0.0000,0.0000
8.3830,2490.000000,0.000000,0.0000,0.0000
8.4328,2474.000000,0.000000,0.0000,0.0000
8.4821,2468.000000,0.000000,0.0000,0.0000
8.5327,2466.000000,0.000000,0.0000,0.0000
8.5823,2474.000000,0.000000,0.0000,0.0000
8.6326,2474.000000,0.000000,0.0000,0.0000
8.6824,2474.000000,0.000000,0.0000,0.0000
8.7329,2476.000000,0.000000,0.0000,0.0000
8.7830,2474.000000,0.000000,0.0000,0.0000
8.8326,2486.000000,0.000000,0.0000,0.0000
8.8826,2474.000000,0.000000,0.0000,0.0000
8.9324,2474.000000,0.000000,0.0000,0.0000
8.9824,2474.000000,0.000000,0.0000,0.0000
9.0324,2476.000000,0.000000,0.0000,0.0000
9.0826,2466.000000,0.000000,0.0000,0.0000
9.1331,24.000000,0.000000,0.0000,0.0000
9.1825,2474.000000,0.000000,0.0000,0.0000
