time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0402,2384.000000,0.005333,16.0000,0.0000
0.0910,2384.000000,0.011333,34.0000,0.0000
0.1406,2474.000000,0.017667,53.0000,0.0000
0.1906,1872.000000,0.024000,72.0000,0.0000
0.2409,2718.000000,0.030000,90.0000,0.0000
0.2906,4828.000000,0.036333,109.0000,0.0000
0.3408,5016.000000,0.042667,128.0000,0.0000
0.3912,5016.000000,0.048667,146.0000,0.0000
0.4404,5016.000000,0.055000,165.0000,0.0000
0.4909,5016.000000,0.061000,183.0000,0.0000
0.5406,5016.000000,0.067333,202.0000,0.0000
0.5910,5016.000000,0.073333,220.0000,0.0000
0.6414,5016.000000,0.079667,239.0000,0.0000
0.6914,5016.000000,0.086000,258.0000,0.0000
0.7409,5016.000000,0.092000,276.0000,0.0000
0.7906,5016.000000,0.098333,295.0000,0.0000
0.8412,5016.000000,0.104333,313.0000,0.0000
0.8903,5016.000000,0.110667,332.0000,0.0000
0.9403,5016.000000,0.116667,350.0000,0.0000
0.9917,5016.000000,0.123000,369.0000,0.0000
1.0411,5016.000000,0.129000,387.0000,0.0000
1.0911,5016.000000,0.135333,406.0000,0.0000
1.1420,5016.000000,0.141333,424.0000,0.0000
1.1905,5016.000000,0.147667,443.0000,0.0000
1.2409,5016.000000,0.154000,462.0000,0.0000
1.2907,5016.000000,0.160000,480.0000,0.0000
1.3407,5016.000000,0.166333,499.0000,0.0000
1.3908,5016.000000,0.172667,518.0000,0.0000
1.4405,5016.000000,0.178667,536.0000,0.0000
1.4902,5016.000000,0.184667,554.0000,0.0000
1.5405,5016.000000,0.191000,573.0000,0.0000
1.5907,5016.000000,0.197000,591.0000,0.0000
1.6410,5016.000000,0.203333,610.0000,0.0000
1.6912,5016.000000,0.209333,628.0000,0.0000
1.7411,5016.000000,0.215667,647.0000,0.0000
1.7908,5016.000000,0.222000,666.0000,0.0000
1.8413,5016.000000,0.228000,684.0000,0.0000
1.8910,5016.000000,0.234333,703.0000,0.0000
1.9435,5016.000000,0.240667,722.0000,0.0000
1.9909,5016.000000,0.246667,740.0000,0.0000
2.0405,5016.000000,0.253000,759.0000,0.0000
2.0910,5016.000000,0.259000,777.0000,0.0000
2.1411,5016.000000,0.265333,796.0000,0.0000
2.1904,5016.000000,0.271667,815.0000,0.0000
2.2403,5016.000000,0.284000,852.0000,0.0000
2.2912,5016.000000,0.290000,870.0000,0.0000
2.3410,5016.000000,0.296333,889.0000,0.0000
2.3910,5016.000000,0.308667,926.0000,0.0000
2.4408,4944.000000,0.321000,963.0000,0.0000
2.4907,4960.000000,0.346000,1038.0000,0.0000
2.5411,4970.000000,0.352000,1056.0000,0.0000
2.5906,4960.000000,0.358333,1075.0000,0.0000
2.6409,4952.000000,0.364333,1093.0000,0.0000
2.6909,4944.000000,0.370667,1112.0000,0.0000
2.7406,4990.000000,0.377000,1131.0000,0.0000
2.7910,4990.000000,0.383000,1149.0000,0.0000
2.8411,4960.000000,0.389333,1168.0000,0.0000
2.8906,4802.000000,0.395333,1186.0000,0.0000
2.9407,4544.000000,0.401667,1205.0000,0.0000
2.9902,4190.000000,0.408000,1224.0000,0.0000
3.0408,4132.000000,0.414000,1242.0000,0.0000
3.0906,4132.000000,0.420333,1261.0000,0.0000
3.1404,4128.000000,0.426333,1279.0000,0.0000
