time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0283,2384.000000,0.005333,16.0000,0.0000
0.0793,2384.000000,0.011333,34.0000,0.0000
0.1289,2474.000000,0.017667,53.0000,0.0000
0.1788,1872.000000,0.024000,72.0000,0.0000
0.2293,2718.000000,0.030000,90.0000,0.0000
0.2790,4828.000000,0.036333,109.0000,0.0000
0.3288,5016.000000,0.042667,128.0000,0.0000
0.3789,5016.000000,0.048667,146.0000,0.0000
0.4289,5016.000000,0.055000,165.0000,0.0000
0.4789,5016.000000,0.061000,183.0000,0.0000
0.5291,5016.000000,0.067333,202.0000,0.0000
0.5792,5016.000000,0.073333,220.0000,0.0000
0.6289,5016.000000,0.079667,239.0000,0.0000
0.6790,5016.000000,0.086000,258.0000,0.0000
0.7292,5016.000000,0.092000,276.0000,0.0000
0.7787,5016.000000,0.098333,295.0000,0.0000
0.8289,5016.000000,0.104333,313.0000,0.0000
0.8784,5016.000000,0.110667,332.0000,0.0000
0.9284,5016.000000,0.116667,350.0000,0.0000
0.9792,5016.000000,0.123000,369.0000,0.0000
1.0289,5016.000000,0.129000,387.0000,0.0000
1.0793,5016.000000,0.135333,406.0000,0.0000
1.1285,5016.000000,0.141333,424.0000,0.0000
1.1786,5016.000000,0.147667,443.0000,0.0000
1.2286,5016.000000,0.154000,462.0000,0.0000
1.2784,5016.000000,0.160000,480.0000,0.0000
1.3290,5016.000000,0.166333,499.0000,0.0000
1.3784,5016.000000,0.172667,518.0000,0.0000
1.4285,5016.000000,0.178667,536.0000,0.0000
1.4788,5016.000000,0.184667,554.0000,0.0000
1.5286,5016.000000,0.191000,573.0000,0.0000
1.5789,5016.000000,0.197000,591.0000,0.0000
1.6290,5016.000000,0.203333,610.0000,0.0000
1.6793,5016.000000,0.209333,628.0000,0.0000
1.7293,5016.000000,0.215667,647.0000,0.0000
1.7784,5016.000000,0.222000,666.0000,0.0000
1.8288,5016.000000,0.228000,684.0000,0.0000
1.8787,5016.000000,0.234333,703.0000,0.0000
1.9294,5016.000000,0.240667,722.0000,0.0000
1.9790,5016.000000,0.246667,740.0000,0.0000
2.0284,5016.000000,0.253000,759.0000,0.0000
2.0793,5016.000000,0.259000,777.0000,0.0000
2.1290,5016.000000,0.265333,796.0000,0.0000
2.1787,5016.000000,0.271667,815.0000,0.0000
2.2293,5016.000000,0.284000,852.0000,0.0000
2.2789,5016.000000,0.290000,870.0000,0.0000
2.3292,5016.000000,0.296333,889.0000,0.0000
2.3792,5016.000000,0.308667,926.0000,0.0000
2.4290,4944.000000,0.321000,963.0000,0.0000
2.4787,4960.000000,0.346000,1038.0000,0.0000
2.5292,4970.000000,0.352000,1056.0000,0.0000
2.5786,4960.000000,0.358333,1075.0000,0.0000
2.6288,4952.000000,0.364333,1093.0000,0.0000
2.6790,4944.000000,0.370667,1112.0000,0.0000
2.7286,4990.000000,0.377000,1131.0000,0.0000
2.7791,4990.000000,0.383000,1149.0000,0.0000
2.8288,4960.000000,0.389333,1168.0000,0.0000
2.8790,4802.000000,0.395333,1186.0000,0.0000
2.9287,4544.000000,0.401667,1205.0000,0.0000
2.9791,4190.000000,0.408000,1224.0000,0.0000
3.0292,4132.000000,0.414000,1242.0000,0.0000
3.0784,4132.000000,0.420333,1261.0000,0.0000
3.1288,4128.000000,0.426333,1279.0000,0.0000
3.1785,4132.000000,0.432667,1298.0000,0.0000
3.2290,4128.000000,0.438667,1316.0000,0.0000
3.2786,4148.000000,0.445000,1335.0000,0.0000
3.3289,4112.000000,0.451000,1353.0000,0.0000
3.3785,4112.000000,0.457333,1372.0000,0.0000
3.4293,4118.000000,0.463333,1390.0000,0.0000
3.4789,4248.000000,0.469667,1409.0000,0.0000
3.5287,3884.000000,0.475667,1427.0000,0.0000
3.5787,3606.000000,0.482000,1446.0000,0.0000
3.6293,3774.000000,0.488000,1464.0000,0.0000
3.6789,3774.000000,0.494333,1483.0000,0.0000
3.7290,3866.000000,0.500333,1501.0000,0.0000
3.7785,3872.000000,0.506667,1520.0000,0.0000
3.8293,3918.000000,0.513000,1539.0000,0.0000
3.8792,4050.000000,0.519000,1557.0000,0.0000
3.9290,3918.000000,0.525333,1576.0000,0.0000
3.9786,3918.000000,0.531333,1594.0000,0.0000
4.0288,3768.000000,0.537667,1613.0000,0.0000
4.0789,3606.000000,0.544000,1632.0000,0.0000
4.1286,3682.000000,0.550000,1650.0000,0.0000
4.1792,3774.000000,0.556333,1669.0000,0.0000
4.2292,3762.000000,0.562667,1688.0000,0.0000
4.2788,3762.000000,0.568667,1706.0000,0.0000
4.3292,3742.000000,0.575000,1725.0000,0.0000
4.3785,3454.000000,0.581000,1743.0000,0.0000
4.4287,2844.000000,0.587333,1762.0000,0.0000
4.4789,2446.000000,0.593667,1781.0000,0.0000
4.5291,2256.000000,0.599667,1799.0000,0.0000
4.5793,2256.000000,0.606000,1818.0000,0.0000
4.6292,2124.000000,0.612000,1836.0000,0.0000
4.6794,2076.000000,0.618333,1855.0000,0.0000
4.7291,2140.000000,0.624667,1874.0000,0.0000
4.7785,2120.000000,0.630667,1892.0000,0.0000
4.8294,2068.000000,0.637000,1911.0000,0.0000
4.8789,2068.000000,0.643000,1929.0000,0.0000
4.9286,2020.000000,0.649333,1948.0000,0.0000
4.9803,1996.000000,0.655667,1967.0000,0.0000
5.0290,1952.000000,0.661667,1985.0000,0.0000
5.0792,1644.000000,0.668000,2004.0000,0.0000
5.1291,1416.000000,0.674000,2022.0000,0.0000
5.1786,1416.000000,0.680333,2041.0000,0.0000
5.2288,1316.000000,0.686667,2060.0000,0.0000
5.2791,1302.000000,0.692667,2078.0000,0.0000
5.3289,1338.000000,0.698667,2096.0000,0.0000
5.3791,1324.000000,0.705000,2115.0000,0.0000
5.4293,1240.000000,0.711000,2133.0000,0.0000
5.4790,1240.000000,0.717333,2152.0000,0.0000
5.5291,1216.000000,0.723333,2170.0000,0.0000
5.5790,1208.000000,0.729667,2189.0000,0.0000
5.6284,1044.000000,0.736000,2208.0000,0.0000
5.6795,934.000000,0.742000,2226.0000,0.0000
5.7293,952.000000,0.754667,2264.0000,0.0000
5.7795,1118.000000,0.767000,2301.0000,0.0000
5.8294,1184.000000,0.779333,2338.0000,0.0000
5.8795,1220.000000,0.791667,2375.0000,0.0000
5.9295,1400.000000,0.822667,2468.0000,0.0000
5.9790,1400.000000,0.829000,2487.0000,0.0000
6.0284,1446.000000,0.835000,2505.0000,0.0000
6.0792,1442.000000,0.841333,2524.0000,0.0000
6.1286,1460.000000,0.847333,2542.0000,0.0000
6.1791,1476.000000,0.853667,2561.0000,0.0000
6.2292,1546.000000,0.859667,2579.0000,0.0000
