time_s,conductivity,motor1_proportion
104.1991,996.000000,0.000000
104.6994,988.000000,0.000000
105.1992,1000.000000,0.000000
105.6988,988.000000,0.000000
106.1993,888.000000,0.000000
106.6993,888.000000,0.000000
107.1997,1000.000000,0.000000
107.6992,886.000000,0.000000
108.1996,886.000000,0.000000
108.6995,888.000000,0.000000
109.1987,888.000000,0.000000
109.6994,888.000000,0.000000
110.1992,886.000000,0.000000
110.6994,888.000000,0.000000
111.1992,886.000000,0.000000
111.6993,888.000000,0.000000
112.1996,888.000000,0.000000
112.6992,888.000000,0.000000
113.1989,888.000000,0.000000
113.6998,888.000000,0.000000
114.1991,888.000000,0.000000
114.6992,886.000000,0.000000
115.1995,886.000000,0.000000
