time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0261,2384.000000,0.005333,16.0000,0.0000
0.0761,2384.000000,0.011333,34.0000,0.0000
0.1262,2474.000000,0.017667,53.0000,0.0000
0.1763,1872.000000,0.024000,72.0000,0.0000
0.2265,2718.000000,0.030000,90.0000,0.0000
0.2760,4828.000000,0.036333,109.0000,0.0000
0.3268,5016.000000,0.042667,128.0000,0.0000
0.3756,5016.000000,0.048667,146.0000,0.0000
0.4259,5016.000000,0.055000,165.0000,0.0000
0.4759,5016.000000,0.061000,183.0000,0.0000
0.5264,5016.000000,0.067333,202.0000,0.0000
0.5757,5016.000000,0.073333,220.0000,0.0000
0.6257,5016.000000,0.079667,239.0000,0.0000
0.6760,5016.000000,0.086000,258.0000,0.0000
0.7261,5016.000000,0.092000,276.0000,0.0000
0.7764,5016.000000,0.098333,295.0000,0.0000
0.8258,5016.000000,0.104333,313.0000,0.0000
0.8772,5016.000000,0.110667,332.0000,0.0000
0.9259,5016.000000,0.116667,350.0000,0.0000
0.9754,5016.000000,0.123000,369.0000,0.0000
1.0257,5016.000000,0.129000,387.0000,0.0000
1.0757,5016.000000,0.135333,406.0000,0.0000
1.1259,5016.000000,0.141333,424.0000,0.0000
1.1764,5016.000000,0.147667,443.0000,0.0000
1.2257,5016.000000,0.154000,462.0000,0.0000
1.2757,5016.000000,0.160000,480.0000,0.0000
1.3259,5016.000000,0.166333,499.0000,0.0000
1.3762,5016.000000,0.172667,518.0000,0.0000
1.4262,5016.000000,0.178667,536.0000,0.0000
1.4755,5016.000000,0.184667,554.0000,0.0000
1.5257,5016.000000,0.191000,573.0000,0.0000
1.5758,5016.000000,0.197000,591.0000,0.0000
1.6257,5016.000000,0.203333,610.0000,0.0000
1.6763,5016.000000,0.209333,628.0000,0.0000
1.7257,5016.000000,0.215667,647.0000,0.0000
1.7762,5016.000000,0.222000,666.0000,0.0000
1.8258,5016.000000,0.228000,684.0000,0.0000
1.8761,5016.000000,0.234333,703.0000,0.0000
1.9265,5016.000000,0.240667,722.0000,0.0000
1.9754,5016.000000,0.246667,740.0000,0.0000
2.0265,5016.000000,0.253000,759.0000,0.0000
2.0761,5016.000000,0.259000,777.0000,0.0000
2.1261,5016.000000,0.265333,796.0000,0.0000
2.1763,5016.000000,0.271667,815.0000,0.0000
2.2256,5016.000000,0.284000,852.0000,0.0000
2.2760,5016.000000,0.290000,870.0000,0.0000
2.3263,5016.000000,0.296333,889.0000,0.0000
2.3755,5016.000000,0.308667,926.0000,0.0000
2.4261,4944.000000,0.321000,963.0000,0.0000
2.4756,4960.000000,0.346000,1038.0000,0.0000
2.5258,4970.000000,0.352000,1056.0000,0.0000
2.5757,4960.000000,0.358333,1075.0000,0.0000
2.6255,4952.000000,0.364333,1093.0000,0.0000
2.6763,4944.000000,0.370667,1112.0000,0.0000
2.7257,4990.000000,0.377000,1131.0000,0.0000
2.7766,4990.000000,0.383000,1149.0000,0.0000
2.8256,4960.000000,0.389333,1168.0000,0.0000
2.8757,4802.000000,0.395333,1186.0000,0.0000
2.9262,4544.000000,0.401667,1205.0000,0.0000
2.9757,4190.000000,0.408000,1224.0000,0.0000
3.0265,4132.000000,0.414000,1242.0000,0.0000
3.0761,4132.000000,0.420333,1261.0000,0.0000
3.1259,4128.000000,0.426333,1279.0000,0.0000
3.1758,4132.000000,0.432667,1298.0000,0.0000
3.2260,4128.000000,0.438667,1316.0000,0.0000
3.2756,4148.000000,0.445000,1335.0000,0.0000
3.3261,4112.000000,0.451000,1353.0000,0.0000
3.3758,4112.000000,0.457333,1372.0000,0.0000
3.4257,4118.000000,0.463333,1390.0000,0.0000
3.4762,4248.000000,0.469667,1409.0000,0.0000
3.5259,3884.000000,0.475667,1427.0000,0.0000
3.5763,3606.000000,0.482000,1446.0000,0.0000
3.6256,3774.000000,0.488000,1464.0000,0.0000
3.6765,3774.000000,0.494333,1483.0000,0.0000
3.7262,3866.000000,0.500333,1501.0000,0.0000
3.7763,3872.000000,0.506667,1520.0000,0.0000
3.8256,3918.000000,0.513000,1539.0000,0.0000
3.8762,4050.000000,0.519000,1557.0000,0.0000
3.9263,3918.000000,0.525333,1576.0000,0.0000
3.9757,3918.000000,0.531333,1594.0000,0.0000
4.0262,3768.000000,0.537667,1613.0000,0.0000
4.0757,3606.000000,0.544000,1632.0000,0.0000
4.1259,3682.000000,0.550000,1650.0000,0.0000
4.1763,3774.000000,0.556333,1669.0000,0.0000
